No.,Letra,Correlativo,Origen,Año,Epoca,Fecha,Número,Página,Sección,Título,Subtítulo,Autores,Tema 1,Tema 2,Tema 3,Tema 4,Tema 5,Revisado,Corrección_Ortográfica,Revisión_LT_Errores
104,W,1.4,Siglo XXI ,6,,10/12/1995,,25,Guia 21,Dos inéditos de Gustavo Adolfo Wyld,,Gustavo Adolfo Wyld,Literatura Guatemalteca,"Wyld, Guatemala Adolfo",,,,,,
105,W,1.3,Siglo XXI ,5,,21/09/1994,1630,31,Guia 21,Gustavo Adolfo Wyld: Escribo sin concesiones para no sacrificar la autenticidad,,Felipe Valenzuela,Literatura Guatemalteca,"Wyld, Guatemala Adolfo",,,,,,
106,W,1.2,Siglo XXI ,-,,22/05/1994,,21,Guia 21,La herencia de Cayetano,,Gustavo Adolfo Wyld,Cuento Guatemalteco,"Wyld, Guatemala Adolfo",,,,,,
107,W,1.1,Siglo XXI ,3,,12/02/1993,,8,,El vicio supremo,,Oswaldo Salazar de León,"Wilde, Oscar - Critica e interpretación",,,,,,,
108,X,1.2,Prensa Libre,LXX,,25/05/2021,23501,7,Todo Noticias,Comunidad xinka,,-,Xincas,Comunidad Xinca,Guatemala,,,,,
109,X,1.1,Prensa Libre,LXX,,22/05/2021,23498,14,Actualidad,Preconsulta acuerda leantar estudio cultural,,Esbin García,Xincas,Minera San Rafael,,,,,,
110,Y,1.6,Siglo XXI ,-,,19/05/1994,1505,23,Int,"Yemen, el país mas pobre, fue en el pasado fuerte y rico",,EFE,Yemen,-,,,,,,
111,Y,1.5,Siglo XXI ,-,,17/05/1994,1503,17,Int,Yemen del Sur envía aviones para atacar a tropas norteñas,,-,Yemen,-,,,,,,
112,Y,1.4,Siglo XXI ,-,,10/05/1994,1496,16,Int,Yemenitas del Sur resisten ataques entre frentes,,AP,"Yemen- Revoluciones, 1994",,,,,,,
113,Y,1.3,El Grafico,-,,7/05/1994,10620,16,Int,Yemen sumido en guerra civil,,-,"Yemen- Revoluciones, 1994",,,,,,,
114,Y,1.2,Siglo XXI ,-,,7/05/1994,1493,16,Int,Se intencifica guerra civil en Yemen; parten extranjeros,,-,"Yemen- Revoluciones, 1994",,,,,,,
